file,cells,wires,power
rand3.v,2,7,2.4
shift_reg.v,4,3,2.6
priority_encoder.v,3,3,2.1
rand2.v,3,7,2.9
decoder3.v,13,7,7.9
mux_chain.v,2,8,2.6
rand5.v,5,11,4.7
full_adder.v,5,8,4.1
toggle_ff.v,2,3,1.6
and4.v,3,7,2.9
decoder2.v,4,2,2.4
multiplier.v,59,54,40.3
rand7.v,4,9,3.8
nand2.v,1,3,1.1
xor4.v,3,7,2.9
adder4.v,12,11,8.2
nor2.v,1,3,1.1
dff.v,1,3,1.1
subtractor4.v,12,11,8.2
counter4.v,10,5,6
rand1.v,2,5,2
or4.v,3,7,2.9
xor2.v,1,3,1.1
comparator.v,16,18,11.6
and2.v,1,3,1.1
encoder4.v,3,3,2.1
mux2.v,1,4,1.3
complex1.v,3,7,2.9
rand6.v,2,6,2.2
not1.v,1,2,0.9
rand4.v,4,9,3.8
half_adder.v,2,4,1.8
or2.v,1,3,1.1
mux4.v,3,5,2.5
demux2.v,2,4,1.8
